"l","O frete via Sedex para o seu pedido ficou no valor de *R$*, com prazo de aproximadamente ** para entrega. 🚚

 (Este valor pode sofrer alteração caso o pedido ultrapasse 10 peças).","Entrega Correios "
"m","*(Motoboy)*

Para segunda, quarta e sexta, a taxa para esse CEP fica *R$*.
Já nas terças e quintas, fica *R$*. 🏍️✨

Mas notei que você está em uma área onde nosso motoboy não consegue chegar diretamente. Podemos combinar um ponto de encontro próximo para realizar a entrega sem problemas! 💛","Entrega Motoboy "
